Time,Value,Value Attributes
17-Feb-2024,20:05:58.71875,83.87
17-Feb-2024,19:46:49.40625,84.05
17-Feb-2024,18:27:39.5,84.45
17-Feb-2024,17:55:48.875,84.30
17-Feb-2024,17:36:28.5,84.46
17-Feb-2024,16:30:14.5625,84.38
17-Feb-2024,15:30:55.59375,84.46
17-Feb-2024,15:26:17.40625,84.61
17-Feb-2024,13:16:39.28125,84.88
17-Feb-2024,12:35:21.40625,85.02
17-Feb-2024,10:21:18.9375,85.29
17-Feb-2024,08:40:49.53125,85.25
17-Feb-2024,07:30:47.28125,85.21
17-Feb-2024,07:30:38.28125,85.44
17-Feb-2024,07:03:32.78125,85.51
17-Feb-2024,07:03:23.78125,85.78
17-Feb-2024,06:05:54.03125,85.93
17-Feb-2024,00:44:40.875,85.34
16-Feb-2024,22:08:39.6875,85.27
16-Feb-2024,18:08:59.1875,85.66
16-Feb-2024,16:53:11.90625,85.63
16-Feb-2024,13:27:20.1875,85.96
16-Feb-2024,12:17:03.6875,85.96
16-Feb-2024,10:38:39.90625,86.44
16-Feb-2024,09:02:15.90625,86.60
16-Feb-2024,07:13:08.34375,86.49
16-Feb-2024,04:25:59.59375,86.24
16-Feb-2024,04:25:50.5625,86.52
16-Feb-2024,01:26:29.65625,85.86
16-Feb-2024,00:04:58.1875,85.35
15-Feb-2024,23:18:18.3125,85.54
15-Feb-2024,20:46:16.46875,85.68
15-Feb-2024,18:11:24.1875,85.91
15-Feb-2024,17:28:42.5625,86.13
15-Feb-2024,15:10:34,86.16
15-Feb-2024,09:47:07.75,87.00
15-Feb-2024,09:46:56.75,86.88
15-Feb-2024,05:57:08.5625,86.63
14-Feb-2024,23:35:56.34375,85.48
14-Feb-2024,23:05:39.5,85.06
14-Feb-2024,21:00:09.4375,85.11
14-Feb-2024,20:59:54.4375,85.00
14-Feb-2024,18:13:44.75,85.24
14-Feb-2024,12:02:07.34375,85.99
14-Feb-2024,09:35:51.40625,86.31
14-Feb-2024,08:47:39.9375,86.12
14-Feb-2024,08:46:44.90625,85.93
14-Feb-2024,07:03:39.0625,85.83
14-Feb-2024,05:11:08.90625,85.39
14-Feb-2024,04:06:24.53125,84.94
14-Feb-2024,04:00:34.28125,84.68
14-Feb-2024,03:54:15.96875,84.84
14-Feb-2024,03:36:20.59375,84.65
14-Feb-2024,03:28:02.40625,84.39
14-Feb-2024,03:17:52.1875,84.04
