Name	\\HST1\T1.TTWS1FI
Data Type	Float 32
Number of Values	16734
Time	Value	Value Attributes
21-Mar-2024 19:20:09.5	261
21-Mar-2024 19:16:15.46875	261
21-Mar-2024 19:11:04.3125	261
21-Mar-2024 19:06:56.0625	261
21-Mar-2024 19:00:26.90625	261
21-Mar-2024 18:41:44.65625	261
21-Mar-2024 18:35:35.5	261
21-Mar-2024 18:31:18.28125	262
21-Mar-2024 18:16:33.9375	263
21-Mar-2024 18:05:13.59375	263
21-Mar-2024 17:53:06.0625	263
21-Mar-2024 17:40:17.75	264
21-Mar-2024 17:28:41.53125	264
21-Mar-2024 17:26:08.5	263
21-Mar-2024 17:24:08.4375	263
21-Mar-2024 17:19:24.34375	264
21-Mar-2024 17:15:12.15625	263
21-Mar-2024 17:10:20.0625	264
21-Mar-2024 17:04:07.90625	264
21-Mar-2024 16:57:45.78125	264
21-Mar-2024 16:48:59.4375	264
21-Mar-2024 16:41:59.25	264
21-Mar-2024 16:31:55.84375	264
21-Mar-2024 16:27:09.625	264
21-Mar-2024 16:24:54.59375	265
21-Mar-2024 16:17:22.46875	265
21-Mar-2024 16:10:56.34375	265
21-Mar-2024 16:02:21.1875	266
21-Mar-2024 15:45:38.90625	266
21-Mar-2024 15:40:43.8125	266
21-Mar-2024 15:21:34.09375	267
21-Mar-2024 15:07:58.78125	267
21-Mar-2024 15:04:14.65625	267
21-Mar-2024 15:01:13.53125	267
21-Mar-2024 14:48:57.34375	267
21-Mar-2024 14:41:25.25	268
21-Mar-2024 14:25:15.0625	268
21-Mar-2024 14:16:11.875	268
21-Mar-2024 13:57:38.4375	269
21-Mar-2024 13:54:54.375	269
21-Mar-2024 13:39:24.125	270
21-Mar-2024 13:30:09.9375	270
21-Mar-2024 13:15:39.46875	270
21-Mar-2024 13:09:55.21875	270
21-Mar-2024 13:04:40.875	271
21-Mar-2024 13:01:40.8125	271
21-Mar-2024 12:53:37.59375	272
21-Mar-2024 12:44:21.5	272
21-Mar-2024 12:35:28.25	273
21-Mar-2024 12:29:28.125	273
21-Mar-2024 12:25:19.0625	273
21-Mar-2024 12:17:12.9375	274
21-Mar-2024 12:14:52.90625	274
21-Mar-2024 12:08:07.71875	274
21-Mar-2024 12:04:25.59375	275
21-Mar-2024 11:57:13.34375	275
21-Mar-2024 11:50:32.03125	275
21-Mar-2024 11:45:12.90625	276
21-Mar-2024 11:29:31.71875	277
21-Mar-2024 11:25:08.71875	277
21-Mar-2024 11:04:07.3125	277
21-Mar-2024 10:59:33.25	277
21-Mar-2024 10:46:39.0625	278
21-Mar-2024 10:26:26.53125	278
21-Mar-2024 10:08:28.375	278
21-Mar-2024 10:01:12.25	278
21-Mar-2024 09:51:19.90625	278
21-Mar-2024 09:46:02.75	278
21-Mar-2024 09:39:22.65625	278
21-Mar-2024 09:34:09.40625	278
21-Mar-2024 09:23:31.1875	278
21-Mar-2024 09:21:31.15625	278
21-Mar-2024 09:09:54.71875	278
21-Mar-2024 08:57:51.5625	278
21-Mar-2024 08:49:37.40625	278
21-Mar-2024 08:47:39.40625	278
21-Mar-2024 08:43:56.40625	278
21-Mar-2024 08:40:38.34375	278
21-Mar-2024 08:36:51.25	278
21-Mar-2024 08:29:19.09375	278
21-Mar-2024 08:26:55.09375	278
21-Mar-2024 08:23:54.9375	278
21-Mar-2024 08:19:45.5625	278
21-Mar-2024 08:16:57.4375	278
21-Mar-2024 08:11:14.375	278
21-Mar-2024 08:06:47.25	278
21-Mar-2024 07:58:39.1875	278
21-Mar-2024 07:53:13.09375	278
21-Mar-2024 07:43:44.75	278
21-Mar-2024 07:38:56.59375	278
21-Mar-2024 07:35:23.5625	278
21-Mar-2024 07:22:32.21875	278
21-Mar-2024 07:19:15.15625	278
21-Mar-2024 07:16:00	278
21-Mar-2024 07:14:52.96875	278
21-Mar-2024 07:11:59.84375	278
21-Mar-2024 07:04:05.53125	277
