Name	\\HST1\T1.A26BTI
Data Type	Float 32
Number of Values	69864
Time	Value	Value Attributes
10-Nov-2023 04:56:37.09375	54
10-Nov-2023 04:55:03.9375	54
10-Nov-2023 04:53:20.65625	54
10-Nov-2023 04:50:18.1875	54
10-Nov-2023 04:44:49.78125	54
10-Nov-2023 04:40:10.96875	54
10-Nov-2023 04:33:05.46875	53
10-Nov-2023 04:30:19.03125	53
10-Nov-2023 04:24:20.96875	53
10-Nov-2023 04:22:37.59375	53
10-Nov-2023 04:16:20.59375	53
10-Nov-2023 04:10:10.1875	53
10-Nov-2023 04:08:55.96875	53
10-Nov-2023 04:00:35.53125	53
10-Nov-2023 03:56:47.34375	53
10-Nov-2023 03:51:21.40625	53
10-Nov-2023 03:46:50.46875	53
10-Nov-2023 03:39:53.5625	53
10-Nov-2023 03:32:35.25	52
10-Nov-2023 03:28:11.21875	52
10-Nov-2023 03:23:54.28125	52
10-Nov-2023 03:19:42.34375	52
10-Nov-2023 03:13:51.75	52
10-Nov-2023 03:04:59.25	52
10-Nov-2023 03:01:43.625	52
10-Nov-2023 02:56:55.625	52
10-Nov-2023 02:50:30.03125	52
10-Nov-2023 02:43:12.71875	52
10-Nov-2023 02:40:07.1875	52
10-Nov-2023 02:37:26.875	51
10-Nov-2023 02:35:27.5625	51
10-Nov-2023 02:31:47.03125	51
10-Nov-2023 02:24:10.46875	51
10-Nov-2023 02:23:22.28125	51
10-Nov-2023 02:17:04.875	51
10-Nov-2023 02:11:00.90625	51
10-Nov-2023 02:04:58.5625	51
10-Nov-2023 02:02:10.03125	51
10-Nov-2023 02:02:06	51
10-Nov-2023 02:02:05	51
10-Nov-2023 02:01:41.875	51
10-Nov-2023 02:01:29.84375	51
10-Nov-2023 01:57:56.03125	51
10-Nov-2023 01:55:50.59375	51
10-Nov-2023 01:45:51.375	51
10-Nov-2023 01:39:41.9375	51
10-Nov-2023 01:34:22.40625	51
10-Nov-2023 01:29:57.53125	51
10-Nov-2023 01:27:05.03125	51
10-Nov-2023 01:21:33.8125	51
10-Nov-2023 01:21:12.75	51
10-Nov-2023 01:21:11.75	51
10-Nov-2023 01:17:16.875	51
10-Nov-2023 01:13:57.09375	51
10-Nov-2023 01:10:05.125	51
10-Nov-2023 01:03:38.375	51
10-Nov-2023 00:58:34.5	51
10-Nov-2023 00:53:37.28125	51
10-Nov-2023 00:49:09.84375	51
10-Nov-2023 00:44:31.15625	51
10-Nov-2023 00:40:51.40625	51
10-Nov-2023 00:38:14.0625	51
10-Nov-2023 00:31:29.125	51
10-Nov-2023 00:26:50.15625	51
10-Nov-2023 00:18:40.96875	51
10-Nov-2023 00:07:45.875	51
10-Nov-2023 00:02:48.21875	51
10-Nov-2023 00:02:46.21875	51
10-Nov-2023 00:00:22.625	51
9-Nov-2023 23:54:27.59375	51
9-Nov-2023 23:53:00.25	51
9-Nov-2023 23:49:35.71875	51
9-Nov-2023 23:44:26.65625	51
9-Nov-2023 23:41:57.40625	51
9-Nov-2023 23:39:06.5625	51
9-Nov-2023 23:34:59.40625	51
9-Nov-2023 23:34:27.28125	51
9-Nov-2023 23:31:57.75	51
9-Nov-2023 23:28:46.84375	51
9-Nov-2023 23:24:26.78125	51
9-Nov-2023 23:18:25.59375	51
9-Nov-2023 23:14:18	51
9-Nov-2023 23:10:25.40625	51
9-Nov-2023 23:04:56.5	51
9-Nov-2023 23:04:51.5	51
9-Nov-2023 23:04:49.5	51
9-Nov-2023 23:04:38.4375	51
9-Nov-2023 23:00:26.65625	51
9-Nov-2023 22:55:09.46875	51
9-Nov-2023 22:44:51	51
9-Nov-2023 22:41:39.46875	51
9-Nov-2023 22:40:24.34375	51
9-Nov-2023 22:32:51	51
9-Nov-2023 22:29:08.03125	51
9-Nov-2023 22:24:38.28125	51
9-Nov-2023 22:19:18.125	51
9-Nov-2023 22:15:34.5	51
9-Nov-2023 22:11:40.65625	51
9-Nov-2023 22:07:59.03125	51
9-Nov-2023 22:05:56.5625	51
9-Nov-2023 22:05:54.53125	51
9-Nov-2023 22:05:26.25	51
9-Nov-2023 22:05:21.1875	51
9-Nov-2023 22:04:17	51
9-Nov-2023 21:58:41.03125	51
9-Nov-2023 21:56:42.28125	51
9-Nov-2023 21:51:59.375	51
9-Nov-2023 21:48:06.3125	51
9-Nov-2023 21:45:25.5	51
9-Nov-2023 21:44:21.4375	51
9-Nov-2023 21:42:06.28125	51
9-Nov-2023 21:40:26.9375	51
9-Nov-2023 21:38:39.53125	51
9-Nov-2023 21:38:37.5	51
9-Nov-2023 21:36:17.125	51
