Name	\\HST1\T1.A26BJ2A
Data Type	Float 32
Number of Values	57655
Time	Value	Value Attributes
24-Mar-2024 13:03:30.9375	30
24-Mar-2024 13:02:49.875	30
24-Mar-2024 13:02:33.84375	30
24-Mar-2024 13:02:24.84375	30
24-Mar-2024 13:01:46.8125	30
24-Mar-2024 13:01:44.8125	30
24-Mar-2024 13:01:33.8125	30
24-Mar-2024 13:01:20.8125	30
24-Mar-2024 13:01:18.8125	30
24-Mar-2024 13:01:17.8125	30
24-Mar-2024 13:01:07.8125	30
24-Mar-2024 13:01:04.8125	30
24-Mar-2024 13:00:40.78125	30
24-Mar-2024 13:00:32.78125	30
24-Mar-2024 13:00:08.78125	30
24-Mar-2024 13:00:04.78125	30
24-Mar-2024 12:59:57.78125	30
24-Mar-2024 12:59:40.78125	30
24-Mar-2024 12:59:38.78125	30
24-Mar-2024 12:59:12.75	30
24-Mar-2024 12:59:08.75	30
24-Mar-2024 12:59:05.75	30
24-Mar-2024 12:59:04.75	30
24-Mar-2024 12:58:08.71875	30
24-Mar-2024 12:58:03.71875	30
24-Mar-2024 12:57:01.71875	30
24-Mar-2024 12:56:13.6875	30
24-Mar-2024 12:56:06.6875	30
24-Mar-2024 12:55:55.6875	30
24-Mar-2024 12:55:50.6875	30
24-Mar-2024 12:55:34.6875	30
24-Mar-2024 12:55:26.6875	30
24-Mar-2024 12:54:39.6875	30
24-Mar-2024 12:54:23.6875	30
24-Mar-2024 12:54:20.6875	30
24-Mar-2024 12:54:10.6875	30
24-Mar-2024 12:53:55.65625	30
24-Mar-2024 12:53:38.65625	30
24-Mar-2024 12:53:35.65625	30
24-Mar-2024 12:53:17.625	30
24-Mar-2024 12:53:15.625	30
24-Mar-2024 12:52:51.59375	30
24-Mar-2024 12:52:25.53125	30
24-Mar-2024 12:51:55.53125	30
24-Mar-2024 12:51:46.53125	30
24-Mar-2024 12:51:45.53125	30
24-Mar-2024 12:51:15.5	30
24-Mar-2024 12:51:13.5	30
24-Mar-2024 12:50:31.46875	30
24-Mar-2024 12:50:22.46875	30
24-Mar-2024 12:50:19.46875	30
24-Mar-2024 12:49:33.46875	30
24-Mar-2024 12:48:56.46875	30
24-Mar-2024 12:48:42.46875	30
24-Mar-2024 12:48:33.46875	30
24-Mar-2024 12:48:23.46875	30
24-Mar-2024 12:48:13.4375	30
24-Mar-2024 12:47:46.4375	30
24-Mar-2024 12:47:44.4375	30
24-Mar-2024 12:47:21.4375	30
24-Mar-2024 12:47:19.4375	30
