Date,Time,T3_PTVIB_A
5-Sep-2023,18:15:29.21729,0.7
6-Sep-2023,02:06:11.18359,0.8
6-Sep-2023,09:56:51.23421,0.8
6-Sep-2023,17:47:33.20354,0.6
7-Sep-2023,01:38:14.22099,0.7
7-Sep-2023,09:28:54.9395,0.6
7-Sep-2023,17:19:36.93782,0.6
8-Sep-2023,01:10:16.38152,0.8
8-Sep-2023,09:00:58.38083,0.7
8-Sep-2023,16:51:39.09734,0.7
9-Sep-2023,00:42:21.08966,0.7
9-Sep-2023,08:33:01.48322,0.8
9-Sep-2023,16:23:42.19772,0.8
10-Sep-2023,00:14:24.18604,0.7
10-Sep-2023,08:05:06.17935,0.7
10-Sep-2023,15:55:48.17667,0.9
10-Sep-2023,23:46:30.16599,0.8
11-Sep-2023,07:37:12.15729,0.6
11-Sep-2023,15:27:54.15161,0.6
11-Sep-2023,23:18:34.86111,0.8
12-Sep-2023,07:09:16.85243,0.7
12-Sep-2023,14:59:58.85074,0.8
12-Sep-2023,22:50:40.20616,0.7
13-Sep-2023,06:41:45.23694,3.9
13-Sep-2023,14:40:54.0367,4.7
13-Sep-2023,22:31:34.1123,3.9
14-Sep-2023,06:22:15.14977,4.8
14-Sep-2023,14:12:55.87029,4.2
14-Sep-2023,22:03:37.85959,4.2
15-Sep-2023,05:54:19.85591,5.1
15-Sep-2023,13:45:01.86322,5.0
15-Sep-2023,21:35:42.57674,4.7
16-Sep-2023,05:26:23.93314,5.1
16-Sep-2023,13:17:05.94044,5.2
16-Sep-2023,21:07:46.98392,5.0
17-Sep-2023,04:58:27.71141,5.2
17-Sep-2023,12:49:07.16612,5.4
17-Sep-2023,20:39:47.89363,5.2
17-Sep-2023,22:10:56.16086,4.3
17-Sep-2023,22:10:56.16086,Bad
17-Sep-2023,22:57:30.60524,1.0
18-Sep-2023,06:54:37.47966,4.9
18-Sep-2023,14:45:19.76393,6.7
18-Sep-2023,22:36:01.3963,5.0
19-Sep-2023,06:26:43.66957,5.3
19-Sep-2023,14:17:24.34508,5.3
19-Sep-2023,22:08:06.2984,4.8
20-Sep-2023,05:58:48.24072,5.4
20-Sep-2023,13:49:30.18504,5.6
20-Sep-2023,21:40:12.13837,4.5
21-Sep-2023,05:30:54.10168,4.9
21-Sep-2023,13:21:36.05101,5.4
21-Sep-2023,21:12:16.73552,5.1
22-Sep-2023,05:02:58.68285,5.0
22-Sep-2023,12:53:40.63416,5.2
22-Sep-2023,20:44:22.59848,5.0
23-Sep-2023,04:35:03.9039,4.9
23-Sep-2023,12:25:43.60956,5.7
23-Sep-2023,20:16:24.60803,5.3
24-Sep-2023,04:07:05.59149,5.2
24-Sep-2023,11:57:47.53482,5.3
24-Sep-2023,19:48:29.49014,5.5
25-Sep-2023,03:39:11.43446,5.3
25-Sep-2023,11:29:53.38678,5.0
25-Sep-2023,19:20:34.05429,4.8
26-Sep-2023,03:11:15.03476,5.6
26-Sep-2023,11:01:56.97308,5.8
26-Sep-2023,18:52:37.94655,4.5
27-Sep-2023,02:43:19.87988,5.6
27-Sep-2023,10:33:59.57555,4.9
27-Sep-2023,18:24:41.51086,4.5
28-Sep-2023,02:15:23.45518,4.8
28-Sep-2023,10:06:05.39851,4.4
28-Sep-2023,17:56:47.33983,4.1
29-Sep-2023,01:47:28.64725,5.7
29-Sep-2023,09:38:10.59457,5.2
29-Sep-2023,17:28:52.56088,6.0
30-Sep-2023,01:19:34.51021,5.7
30-Sep-2023,09:10:16.45354,5.9
30-Sep-2023,17:00:58.41185,6.3
1-Oct-2023,00:51:40.36217,5.0
1-Oct-2023,08:42:21.98454,5.7
1-Oct-2023,16:33:02.97401,6.1
2-Oct-2023,00:23:43.96848,4.7
2-Oct-2023,08:14:24.96594,5.6
2-Oct-2023,16:05:05.9734,5.9
