Date,Time,T1_A26BTAB
27-Jun-2023,22:35:56.8125,64
27-Jun-2023,22:38:36.96875,64
27-Jun-2023,22:42:03.25,64
27-Jun-2023,22:43:57.34375,64
27-Jun-2023,22:44:00.34375,64
27-Jun-2023,22:49:11.6875,64
27-Jun-2023,22:53:02.8125,64
27-Jun-2023,23:01:07.28125,64
27-Jun-2023,23:12:53.90625,64
27-Jun-2023,23:22:52.65625,64
27-Jun-2023,23:28:47.0625,64
27-Jun-2023,23:36:04.59375,64
27-Jun-2023,23:48:04.40625,64
28-Jun-2023,00:03:35.75,64
28-Jun-2023,00:09:41.15625,65
28-Jun-2023,00:12:23.28125,65
28-Jun-2023,00:19:55.625,65
28-Jun-2023,00:22:15.8125,65
28-Jun-2023,00:30:26.21875,66
28-Jun-2023,00:39:43.6875,66
28-Jun-2023,00:45:45.03125,66
28-Jun-2023,00:49:10.3125,66
28-Jun-2023,00:49:12.3125,66
28-Jun-2023,00:52:15.53125,66
28-Jun-2023,00:55:23.625,66
28-Jun-2023,00:58:13.75,66
28-Jun-2023,01:07:22.21875,66
28-Jun-2023,01:10:28.5625,66
28-Jun-2023,01:15:52.90625,66
28-Jun-2023,01:16:40,66
28-Jun-2023,01:20:18.28125,66
28-Jun-2023,01:23:54.40625,66
28-Jun-2023,01:27:43.5625,66
28-Jun-2023,01:34:50.9375,66
28-Jun-2023,01:44:11.28125,66
28-Jun-2023,01:49:54.65625,66
28-Jun-2023,02:04:27.15625,66
28-Jun-2023,02:06:02.21875,66
28-Jun-2023,02:13:34.625,66
28-Jun-2023,02:21:41.21875,67
28-Jun-2023,02:22:47.3125,67
28-Jun-2023,02:25:45.46875,67
28-Jun-2023,02:30:16.59375,67
28-Jun-2023,02:36:49.90625,67
28-Jun-2023,02:38:57.90625,67
28-Jun-2023,02:45:53.15625,67
28-Jun-2023,02:49:16.3125,68
28-Jun-2023,02:52:16.4375,68
28-Jun-2023,02:53:40.5,67
28-Jun-2023,02:58:36.875,67
28-Jun-2023,03:02:15.03125,68
28-Jun-2023,03:07:41.40625,67
28-Jun-2023,03:15:19,68
28-Jun-2023,03:17:33.15625,68
28-Jun-2023,03:19:21.3125,68
28-Jun-2023,03:24:30.40625,68
28-Jun-2023,03:28:12.46875,68
28-Jun-2023,03:31:00.71875,68
28-Jun-2023,03:33:45.875,68
28-Jun-2023,03:36:41.03125,68
28-Jun-2023,03:38:51.1875,68
28-Jun-2023,03:40:18.21875,68
28-Jun-2023,03:43:19.34375,68
28-Jun-2023,03:44:50.46875,68
28-Jun-2023,03:48:03.59375,68
28-Jun-2023,03:51:17.6875,68
28-Jun-2023,03:52:53.71875,68
28-Jun-2023,03:56:34.875,68
28-Jun-2023,03:58:33.0625,69
28-Jun-2023,04:00:51.125,68
28-Jun-2023,04:01:48.15625,68
28-Jun-2023,04:05:07.21875,68
28-Jun-2023,04:09:18.375,68
28-Jun-2023,04:11:31.625,68
28-Jun-2023,04:15:15.78125,68
28-Jun-2023,04:19:07,68
28-Jun-2023,04:23:56.34375,69
28-Jun-2023,04:29:43.71875,68
28-Jun-2023,04:36:34.0625,68
28-Jun-2023,04:37:38.09375,69
28-Jun-2023,04:39:08.125,69
28-Jun-2023,04:43:07.25,69
28-Jun-2023,04:45:27.375,69
28-Jun-2023,04:48:43.5625,69
28-Jun-2023,04:50:04.65625,69
28-Jun-2023,04:50:52.71875,69
28-Jun-2023,04:50:56.71875,69
28-Jun-2023,04:52:21.78125,69
28-Jun-2023,04:53:29.8125,69
28-Jun-2023,04:55:09.9375,69
28-Jun-2023,04:57:49.96875,69
28-Jun-2023,04:59:14.09375,70
28-Jun-2023,05:03:17.40625,70
28-Jun-2023,05:04:18.4375,70
28-Jun-2023,05:06:51.5625,70
28-Jun-2023,05:07:31.5625,70
28-Jun-2023,05:09:13.6875,69
28-Jun-2023,05:10:52.78125,69
28-Jun-2023,05:16:42.15625,69
28-Jun-2023,05:18:29.3125,70
28-Jun-2023,05:21:22.40625,69
28-Jun-2023,05:23:12.4375,70
28-Jun-2023,05:25:07.65625,70
28-Jun-2023,05:26:12.78125,70
28-Jun-2023,05:27:19.84375,71
28-Jun-2023,05:29:46,71
28-Jun-2023,05:30:56.03125,70
28-Jun-2023,05:34:28.28125,69
28-Jun-2023,05:39:10.375,70
28-Jun-2023,05:40:12.46875,70
28-Jun-2023,05:44:18.6875,70
28-Jun-2023,05:46:36.78125,71
28-Jun-2023,05:50:10.03125,70
28-Jun-2023,05:50:58.0625,70
28-Jun-2023,05:52:50.0625,70
28-Jun-2023,05:55:30.1875,71
28-Jun-2023,05:57:45.46875,71
28-Jun-2023,06:00:32.59375,71
28-Jun-2023,06:00:37.59375,70
28-Jun-2023,06:01:41.65625,70
28-Jun-2023,06:03:05.6875,71
28-Jun-2023,06:03:42.71875,71
28-Jun-2023,06:05:20.90625,70
28-Jun-2023,06:07:51.96875,71
28-Jun-2023,06:10:28.09375,70
28-Jun-2023,06:12:55.28125,70
28-Jun-2023,06:14:43.3125,70
28-Jun-2023,06:16:54.4375,70
28-Jun-2023,06:16:57.4375,70
28-Jun-2023,06:19:35.59375,71
28-Jun-2023,06:21:52.625,70
28-Jun-2023,06:23:03.6875,70
28-Jun-2023,06:26:18.9375,70
28-Jun-2023,06:27:25.96875,71
28-Jun-2023,06:28:42,71
28-Jun-2023,06:30:46.0625,70
28-Jun-2023,06:31:01.09375,71
28-Jun-2023,06:31:09.09375,70
28-Jun-2023,06:35:01.25,71
28-Jun-2023,06:38:24.28125,71
28-Jun-2023,06:42:21.5625,71
28-Jun-2023,06:45:54.75,71
28-Jun-2023,06:46:53.75,70
28-Jun-2023,06:46:54.75,71
28-Jun-2023,06:46:56.75,70
28-Jun-2023,06:49:23.9375,70
28-Jun-2023,06:51:43.03125,71
28-Jun-2023,06:54:04.125,71
28-Jun-2023,06:56:54.3125,71
28-Jun-2023,06:59:14.46875,71
28-Jun-2023,07:04:38.875,72
28-Jun-2023,07:05:29.90625,72
28-Jun-2023,07:05:30.90625,71
28-Jun-2023,07:08:07.15625,71
28-Jun-2023,07:09:32.21875,72
28-Jun-2023,07:09:43.25,71
28-Jun-2023,07:12:29.4375,72
28-Jun-2023,07:16:21.6875,72
28-Jun-2023,07:18:31.71875,72
28-Jun-2023,07:20:23.8125,72
28-Jun-2023,07:25:04,72
28-Jun-2023,07:25:21,72
28-Jun-2023,07:29:45.28125,72
28-Jun-2023,07:32:46.40625,72
28-Jun-2023,07:35:24.8125,72
28-Jun-2023,07:35:41.8125,71
28-Jun-2023,07:38:24.9375,71
28-Jun-2023,07:40:43,71
28-Jun-2023,07:40:44,72
28-Jun-2023,07:48:03.28125,72
28-Jun-2023,07:51:10.4375,71
28-Jun-2023,07:53:30.625,71
28-Jun-2023,07:56:14.75,72
28-Jun-2023,07:58:09.90625,72
28-Jun-2023,07:59:32.03125,72
28-Jun-2023,08:03:05.125,72
28-Jun-2023,08:04:33.15625,72
28-Jun-2023,08:06:56.3125,72
28-Jun-2023,08:13:28.90625,72
28-Jun-2023,08:15:31.21875,72
28-Jun-2023,08:17:14.3125,72
28-Jun-2023,08:22:31.6875,72
28-Jun-2023,08:25:26.71875,72
28-Jun-2023,08:26:14.8125,71
28-Jun-2023,08:28:33.875,72
28-Jun-2023,08:31:09.09375,72
28-Jun-2023,08:33:01.25,72
28-Jun-2023,08:39:41.5625,73
28-Jun-2023,08:43:47.75,72
28-Jun-2023,08:46:35.90625,71
28-Jun-2023,08:48:43.0625,71
28-Jun-2023,08:51:17.28125,72
28-Jun-2023,08:55:19.59375,72
28-Jun-2023,08:56:57.625,72
28-Jun-2023,09:00:55.96875,72
28-Jun-2023,09:09:08.25,72
28-Jun-2023,09:19:19.71875,72
28-Jun-2023,09:24:35.15625,72
28-Jun-2023,09:30:59.46875,72
28-Jun-2023,09:32:22.53125,71
28-Jun-2023,09:35:54.6875,72
28-Jun-2023,09:40:30.9375,72
28-Jun-2023,09:47:20.21875,72
28-Jun-2023,09:48:28.21875,72
28-Jun-2023,09:52:14.34375,72
28-Jun-2023,09:53:39.59375,72
28-Jun-2023,09:57:28.875,71
28-Jun-2023,09:59:47.03125,72
28-Jun-2023,10:05:07.3125,72
28-Jun-2023,10:08:37.4375,72
