Time,Value,Value Attributes
22-Feb-2024,09:00:04.84375,77.16
22-Feb-2024,08:59:21.84375,73.57
22-Feb-2024,08:52:20.71875,73.49
22-Feb-2024,08:52:10.71875,73.64
22-Feb-2024,08:52:04.71875,73.30
22-Feb-2024,08:51:58.71875,73.41
22-Feb-2024,08:33:49.3125,73.35
22-Feb-2024,08:11:25.1875,73.49
22-Feb-2024,07:10:29.46875,73.40
22-Feb-2024,06:26:09.65625,73.39
22-Feb-2024,06:25:28.625,73.47
22-Feb-2024,06:19:40.59375,73.51
22-Feb-2024,04:59:49.625,73.46
22-Feb-2024,04:34:09.28125,73.52
22-Feb-2024,03:56:59.875,73.52
22-Feb-2024,03:53:47.84375,73.36
21-Feb-2024,23:13:27.3125,73.36
21-Feb-2024,22:17:14.5,73.34
21-Feb-2024,21:34:33.5625,73.41
21-Feb-2024,20:53:01.09375,73.47
21-Feb-2024,20:25:24,73.48
21-Feb-2024,20:16:04.90625,73.43
21-Feb-2024,19:46:10.6875,73.47
21-Feb-2024,19:20:56.34375,73.51
21-Feb-2024,18:52:31.84375,73.37
21-Feb-2024,18:42:05.71875,73.42
21-Feb-2024,18:25:31.53125,73.44
21-Feb-2024,18:21:40.5,73.41
21-Feb-2024,18:15:09.40625,73.41
21-Feb-2024,18:05:13.28125,73.44
21-Feb-2024,17:43:07.84375,73.39
21-Feb-2024,16:45:34.96875,73.37
21-Feb-2024,16:17:04.75,73.35
21-Feb-2024,15:41:46.34375,73.37
21-Feb-2024,15:02:56.03125,73.36
21-Feb-2024,14:46:34.59375,73.45
21-Feb-2024,14:43:04.53125,73.48
21-Feb-2024,14:21:59.09375,73.52
21-Feb-2024,13:53:22.71875,73.49
21-Feb-2024,13:27:32.3125,73.41
21-Feb-2024,13:01:25.90625,73.34
21-Feb-2024,12:16:39.21875,73.39
21-Feb-2024,11:54:47.8125,73.44
21-Feb-2024,09:41:33.96875,73.44
21-Feb-2024,08:50:54.3125,73.43
21-Feb-2024,08:50:29.3125,73.38
21-Feb-2024,08:39:38.1875,73.40
21-Feb-2024,08:36:28.1875,73.52
21-Feb-2024,08:06:25.09375,73.37
21-Feb-2024,07:36:08.125,73.46
21-Feb-2024,07:35:35.125,75.99
21-Feb-2024,07:32:42.09375,76.19
21-Feb-2024,07:32:30.09375,77.05
21-Feb-2024,07:32:03.09375,79.14
21-Feb-2024,07:25:04.9375,79.14
21-Feb-2024,07:24:48.9375,79.25
21-Feb-2024,03:33:13.8125,79.14
21-Feb-2024,03:33:07.8125,79.44
21-Feb-2024,03:33:03.8125,79.03
21-Feb-2024,01:33:07.5,79.19
20-Feb-2024,17:41:14.125,79.18
20-Feb-2024,09:50:14.53125,79.15
20-Feb-2024,01:59:48.78125,79.18
19-Feb-2024,18:03:57.75,79.18
19-Feb-2024,10:08:35.59375,79.18
19-Feb-2024,02:08:56.90625,79.18
18-Feb-2024,18:10:55.75,79.19
18-Feb-2024,10:11:01.1875,79.19
