Time,Value,Value Attributes
30-Mar-2024,04:32:02.125,24
30-Mar-2024,04:32:00.125,24
30-Mar-2024,04:31:56.125,24
30-Mar-2024,04:31:55.125,24
30-Mar-2024,04:31:53.125,24
30-Mar-2024,04:31:45.125,24
30-Mar-2024,04:31:44.125,24
30-Mar-2024,04:31:43.125,24
30-Mar-2024,04:31:39.125,24
30-Mar-2024,04:31:38.125,24
30-Mar-2024,04:31:37.125,24
30-Mar-2024,04:31:33.09375,24
30-Mar-2024,04:31:32.09375,24
30-Mar-2024,04:31:17.0625,24
30-Mar-2024,04:31:15.0625,24
30-Mar-2024,04:31:14.0625,24
30-Mar-2024,04:31:05.03125,24
30-Mar-2024,04:31:02.03125,24
30-Mar-2024,04:30:51.03125,24
30-Mar-2024,04:30:50.03125,24
30-Mar-2024,04:30:49.03125,24
30-Mar-2024,04:30:22.9375,24
30-Mar-2024,04:30:21.9375,24
30-Mar-2024,04:30:19.9375,24
30-Mar-2024,04:30:16.9375,24
30-Mar-2024,04:30:15.9375,24
30-Mar-2024,04:30:10.90625,24
30-Mar-2024,04:30:09.90625,24
30-Mar-2024,04:30:07.90625,24
30-Mar-2024,04:30:04.90625,24
30-Mar-2024,04:30:03.90625,24
30-Mar-2024,04:30:00.90625,24
30-Mar-2024,04:29:55.90625,24
30-Mar-2024,04:29:36.90625,24
30-Mar-2024,04:29:35.90625,24
30-Mar-2024,04:29:34.90625,24
30-Mar-2024,04:29:32.90625,24
30-Mar-2024,04:29:18.90625,24
30-Mar-2024,04:29:11.90625,24
30-Mar-2024,04:29:10.90625,24
30-Mar-2024,04:29:09.90625,23
30-Mar-2024,04:29:08.90625,23
30-Mar-2024,04:29:07.90625,24
30-Mar-2024,04:29:05.90625,24
30-Mar-2024,04:29:02.90625,24
30-Mar-2024,04:29:00.90625,24
30-Mar-2024,04:28:59.90625,24
30-Mar-2024,04:28:57.90625,24
30-Mar-2024,04:28:48.90625,24
30-Mar-2024,04:28:47.90625,24
30-Mar-2024,04:28:45.90625,24
30-Mar-2024,04:28:44.90625,23
30-Mar-2024,04:28:43.90625,24
30-Mar-2024,04:27:59.90625,24
30-Mar-2024,04:27:47.90625,24
30-Mar-2024,04:27:46.90625,24
30-Mar-2024,04:27:44.90625,24
30-Mar-2024,04:27:41.90625,24
30-Mar-2024,04:27:40.90625,24
30-Mar-2024,04:27:37.90625,24
30-Mar-2024,04:27:36.90625,24
30-Mar-2024,04:27:30.90625,24
30-Mar-2024,04:27:20.90625,24
30-Mar-2024,04:27:19.90625,24
30-Mar-2024,04:27:18.90625,24
30-Mar-2024,04:27:11.90625,24
30-Mar-2024,04:27:03.90625,24
30-Mar-2024,04:26:47.90625,24
30-Mar-2024,04:26:34.90625,24
30-Mar-2024,04:26:33.90625,24
30-Mar-2024,04:26:32.90625,24
30-Mar-2024,04:26:26.90625,24
30-Mar-2024,04:25:47.8125,24
30-Mar-2024,04:25:46.8125,24
30-Mar-2024,04:25:45.8125,24
30-Mar-2024,04:24:49.8125,24
30-Mar-2024,04:24:48.8125,23
30-Mar-2024,04:24:46.8125,24
30-Mar-2024,04:23:47.78125,24
30-Mar-2024,04:23:45.78125,23
30-Mar-2024,04:23:43.78125,24
30-Mar-2024,04:23:40.78125,24
30-Mar-2024,04:23:15.78125,24
30-Mar-2024,04:23:11.78125,24
30-Mar-2024,04:23:09.78125,23
30-Mar-2024,04:23:08.78125,24
30-Mar-2024,04:22:33.78125,23
30-Mar-2024,04:22:29.78125,24
30-Mar-2024,04:22:23.78125,23
30-Mar-2024,04:22:20.78125,24
30-Mar-2024,04:22:19.78125,23
30-Mar-2024,04:22:17.78125,24
30-Mar-2024,04:22:14.78125,24
30-Mar-2024,04:22:07.78125,24
